Property Character Location Other,PropertyType,Project Requested,First appearance:,,Appears On Cover? (Y/N),Talent:,,,,Talent/Agreement  Notes,Rights/Additional Notes,GUID
,Character,,,,,Gil Kane,cover pencils,,,Deceased,,38A273FD-0206-7E45-AE8F-EF6B190563F5
Atomic Skull ,Character,,Superman #323,May-78,Y,Marty Pasko,writer,Exclusive,,,,2F734521-2DD6-804F-BF8F-D4EB0DC88339
,Character,,,,,Curt Swan,pencils,Exclusive,,,,AF6ACBBA-7564-1949-8D32-9EF301512357
,Character,,,,,Dan Adkins,inks,,,Exclusive Agreement expired 12/31/1977,,BDF9BBC6-A6DA-4047-BDE0-E4F087172E0F
"Atomica
(Rhonda Pineda; Atom)",Character,,Aquaman vol 7 #16,Mar-13,Y,Geoff Johns,writer,WFH,,,,C1221C20-55EC-114A-A93E-CDB5FBB7D2A4
,Character,,,,,Paul Pelletier,"pencils, cover",WFH,,,,93E67635-E5A3-5F46-8C01-AACCA650A74B
,Character,,,,,Sean Parsons,inks,WFH,,,,0463E2C0-1EE2-C940-B42D-DF7822EDF2E7
Atrocitus,Character,Lego Aquaman,Green Lantern #25,Jan-08,N,Geoff Johns,writer,Exclusive; WFH,2009,,,48CAE861-2673-3344-A163-B4FD49F66A33
,Character,,,,,Ivan Reis,"pencils, inks, cover pencils",Exclusive; WFH,,,,6FD8BBDF-C686-1644-BB5F-49FE3E63C730
,Character,,,,,Ethan Van Sciver,"pencils, inks",Exclusive; WFH,2009,,,1703C1F3-F202-3B47-A416-C5B4F532E0A9
,Character,,,,,Oclair Albert,"inks, cover inks",WFH,,,,BCC51EE3-CF74-E74A-BADB-3754E4567A7C
,Character,,,,,Julio Ferreira,inks,WFH,,,,CC1EF50E-47C9-A24E-9068-3D2B5C52282D
,Character,,,,,"William ""Moose"" Baumann",color,N/A,,,,26852DB8-AE00-5242-9E50-4FF1C8743E15
,Character,,,,,Rod Reis,color,N/A,,,,C07DD992-7BB8-DE41-8F37-998BFE29FD81
Attila,Character,,Blackhawks #1,Nov-11,Y,Mike Costa,writer,WFH,,,,316F39C0-B75E-A846-B49A-18CC6894290B
,Character,,,,,Graham Nolan,pencils,WFH,,,,8CCDA4B4-44AE-E14C-8482-DE4CD57707C8
,Character,,,,,Ken Lashley,"pencils, inks, cover",WFH,,,,04D2DA23-5EC0-0842-8B27-856CCA32D4C9
,Character,,,,,Guy Major,color,Exclusive,,,,802A69F3-F390-5C46-904B-1D6DF450B888
The Authority,Property,,The Authority #1,May-99,Y,Warren Ellis,writer,None,,"WFH agreements located for issues 4, 6-12.","Per note from Jay Kogan: The Authority as a Property is clear, but use of two members of the team that joined the roster in Issue #18 may trigger the Disney lien on Gen13 properties – Freefall and Rainmaker. Further investigation would be needed for use of these characters.",71C288CF-D527-E24F-8EF3-25839659BD33
,Property,,,,,Bryan Hitch,"pencils, cover pencils",None,,WFH agreements located for issues 2-12.,,40EE5929-FAC0-E44D-9539-4DDB6E629DE0
,Property,,,,,Paul Neary,"inks, cover inks",None,,WFH agreements located for issues 2-12.,,5691CCC2-0491-6B44-A1FD-9B3E375A97DE
,Property,,,,,Laura Depuy Martin,color,N/A,,,,889B4494-D6A1-FF44-886E-05279EF4207A
Avery Carlton Sunderland,Character,Swamp Thing 101,"The Saga of the Swamp Thing #6
""Sins on the Water""",Oct-82,N,Martin Pasko,writer,None,,,,F2717392-2484-EA4C-8695-47C462477DB6
,Character,,,,,Thomas Yeates,"pencils, inks, cover",None,,,,4883C891-A07B-5341-B316-504F1AA8FE73
,Character,,,,,Tatjana Wood,color,Exclusive,,,,30C6AF6C-FD0E-3A48-B014-A49EBAEAD6F1
Azarath,Location,,New Teen Titans #1,Nov-80,N,Marv Wolfman,writer,Exclusive,1983,,,A91C4DA9-DEDE-F143-B701-CC62759D1F05
,Location,,,,,George Perez,"pencils, cover pencils",None,1983,,,7921FB49-F0E3-3E43-8410-DDC920484332
,Location,,,,,Romeo Tanghal,inks,Exclusive,,,,740AA294-5137-3347-882C-68F201E5FD58
,Location,,,,,Dick Giordano,cover inks,Exclusive,,"Giordano may have been an employee of DC at this time.
Deceased",,D6F145CC-83A1-4D43-B51A-F87156C3B55A
,Location,,,,,Adrienne Roy,color,N/A,,Deceased,,90019E8C-0F90-0D4C-A453-BDA06B9DD169
"Azucar 
(Veronica Lopez)",Character,"Suicide Squad
(2019)",Suicide Squad Most Wanted: El Diablo and Boomerang #2,Nov-16,N,Jai Nitz,writer,WFH,,,,E2CE7A4C-C159-BA4E-967E-6985575FD0E2
,Character,,,,,Cliff Richards,pencils,WFH,,,,D9E388AD-1A84-AE4C-8E04-00D515068DCF
,Character,,,,,Cliff Richards,inks,WFH,,,,328ACE16-8C0D-4748-AAC6-57FB08AF6424
"Backlash
(Marc Slayton)",Character,"Point Blank
Sleeper",Stormwatch #3,Jul-93,Y,Jim Lee,"writer, cover pencils",WildStorm Employment Agreement,Y,"Booth & Lee are credited with the co-creator of Backlash; however Booth's first work on this series was in Stormwatch #0 (Aug. 93)

See also: WildStorm Asset Purchase Agreement",,AC4CC6CF-3B98-E54D-B41F-1590CE88A0D7
,Character,,,,,Brett Booth,co-creator,WildStorm WFH Acknowledgement,2009,,,6B6E696B-94D5-844B-95DC-1CE187DCA584
,Character,,,,,Brandon Choi,writer,WildStorm WFH Acknowledgement,,,,BB22C342-43A0-1B41-99A1-140F5838ADB9
,Character,,,,,Scott Clark,pencils,WFH,,,,6F243B42-EE7A-424B-9D8E-7B620122159E
,Character,,,,,Trevor Scott,"inks, cover inks",WildStorm WFH Acknowledgement,,,,67EC2ADF-70FB-AF4E-B93C-52B7A540F9CC
,Character,,,,,Chameleon Prime,color,N/A,,,,B80B2FC5-F0CF-3541-8E21-63915EF9A498
,Character,,,,,"Paige Apfelbaum
(Paige King)",color,N/A,,,,3985D529-E487-D244-8FFD-5CFB0F55683E
,Character,,,,,Joe Chiodo,color,N/A,,,,E69296D1-7951-A74D-9FB4-5C14A483C42C
,Character,,,,,Wendy Fouts,color,N/A,,,,D066F554-B67A-6C47-9380-E55BE7C25678
Badhnisia,Location,Flash,"Flash Comics #1
""The Kidnapping of Johnny Thunder""",Jan-40,N,John B. Wentworth,writer,Writer-Artist,,"Agreement is undated and untitled
Deceased",,ADB88267-D4BD-6943-A15F-10F44DE8DEAF
,Location,,,,,Stan Aschmeier,"pencils, inks",None,,Deceased,,1FAF180B-A733-C84C-BF28-8DB4D2BFC982
,Location,,,,,Sheldon Moldoff,cover,Writer-Artist,,"Agreement is undated and untitled
Deceased",,0660B183-72EB-A848-A5C2-37EDF642C3EB
Balloon Man,Character,,Metal Men #24,Feb-67,Y,Robert Kanigher,writer,N/A,,"Kanigher was an employee of DC from 2/3/47 - 5/31/82.
Deceased",,FA12DA9A-98E6-594B-90B0-BEC931F1B979
,Character,,,,,Ross Andru,"pencils, cover pencils",None,,Deceased,,3B871DF8-A803-6E49-A524-B94F959A5453
,Character,,,,,Mike Esposito,"inks, cover inks",None,,Deceased,,A68CECAB-56DF-4C48-B34C-42267B91C842
Bane,Character,"Suicide Squad
(2016)","Batman: Vengeance of the Bane #1
(initially created to appear in Batman #489 - 2/93)",Jan-93,Y,Doug Moench,creator,None,1993,Moench contributed to Batman #489. We have a WFH for him for that issue.,,42432AEA-6173-BC4A-BE8B-BADC2CB4D784
,Character,,,,,Chuck Dixon,"creator, writer",WFH; Settlement,1993,,,F5DBD8FD-9926-8C41-996B-4D7025AB4D55
,Character,,,,,Graham Nolan,"creator, pencils",WFH; Settlement,1993,,,9F5BBA3B-1C47-404A-A4D9-3E520C28F189
,Character,,,,,Eduardo Barretto,inks,WFH,,,,51781663-6FD6-EC4D-94B7-16C040BE4FE8
,Character,,,,,Glenn Fabry,cover,WFH,,,,628B973D-AEB5-604C-9B6B-89CBC9E2E470
,Character,,,,,Adrienne Roy,color,Exclusive,,Deceased,,BA89F469-348A-5A43-9872-F2CD20231A0C
Barbara Whitmore,Character,Stargirl 101,Stars & S.T.R.I.P.E. #0,Jul-99,N,Geoff Johns,writer,WFH,,,,D3F5964D-AF06-9342-ABB9-E7368F5B4445
,Character,,,,,James Robinson,writer,Exclusive,,,,E249FBCA-C699-5D46-A019-6A064D2A26F9
,Character,,,,,Lee Moder,"pencils, cover pencils",WFH,,,,C7F35346-B094-A647-9DD5-EFBBCBBB67C4
,Character,,,,,Chris Weston,pencils,WFH,,,,2AAD7B0A-3FD3-DE42-8029-D746B24D919E
,Character,,,,,Dan W. Davis,"inks, cover inks",WFH,,,,87A7A712-5AB4-644A-971D-EB61D3A40FB8
,Character,,,,,John Stokes,inks,WFH,,,,19E229A4-3362-3F41-80C9-D704A582E588
,Character,,,,,Carla Feeny,color,N/A,,,,1FC1E50E-9312-6345-A7E7-645DC7CB5A57
"Barbary Ghost
(Yanmei Tsen)",Character,,"All-Star Western #4
""The Barbary Ghost Part 1""",Feb-12,N,James Palmiotti,writer,WFH,2011,,,5B0F7210-338D-7144-972D-0DA127A249AD
,Character,,,,,Justin Gray,writer,WFH,2011,,,8C0A3494-7E56-D34C-B446-DA96EB0B7E79
,Character,,,,,Phil Winslade,"pencils, inks",WFH,,Equity agreement sent; unsigned,,4B92081F-DF9F-C54B-AC43-DACD3BE3A65B
,Character,,,,,Jose Ladronn,cover,WFH,,,,3DEC2513-BAA4-0F49-A43C-2AE08A82F77E
,Character,,,,,Dominic Regan,color,N/A,,,,23A48528-B139-D64E-99E0-3C7D36F50814
Barney Sands,Character,,The Flash #248 ,Apr-77,N,Cary Bates,writer,None,,,,65AD0621-9ADD-034F-9F22-074071AE3E2B
,Character,,,,,"Irving ""Irv"" Novick",pencils,None,,,,1AB57BDC-F486-754C-8F5A-8F694C923BE2
,Character,,,,,Frank McLaughlin,inks,Exclusive,,,,B9A696EB-2726-594E-ABA4-1DA4AB8BADDD
"Baron Bedlam 
(Frederick DeLamb)",Character,,Batman and the Outsiders #1,Aug-83,N,Mike W. Barr,writer,Writer; Joint Creator,2006,,,7710C630-7050-8445-B82F-A5F63EC6029A
,Character,,,,,James Aparo,"pencils, inks",Artist; Joint Creator,1991,,,5B183C7E-BCFC-D84E-966A-E7759AE33106
,Character,,,,,Adrienne Roy,color,Exclusive,,,,22B033DC-7D64-8C4D-ACEC-EE99EC4BAD20
"Baron Reiter
(Baron Blitzkrieg)",Character,"Arrow 402
(10/14/2015)","World's Finest Comics #246
""The Baron's Name is Blitzkrieg""",Sep-77,N,Gerry Conway,writer,Exclusive,,,,8117F2DE-C3A1-0A46-8079-9249B32741DF
,Character,,,,,Don Heck,pencils,Exclusive,,Deceased,,1B02D4DA-4A14-624B-82A2-4273103DA3A8
,Character,,,,,Vince Colletta,inks,Exclusive,,,,C9562B47-4F62-EF45-8018-8B9DBBB2430A
,Character,,,,,Neal Adams,cover,Creator Recognition,,,,622424F2-E796-9E47-9E04-88A1169B27E6
Baron Winters,Character,Night Force,"New Teen Titans #21
""Night Force""",Jul-82,N,Marv Wolfman,writer,Writer,,,,0847E4BF-3E6C-F141-84E8-BFF1CFBA4548
,Character,,,,,Eugene Colan,"pencils, cover pencils",Exclusive,,Deceased,,1BB7C0B6-26F7-BE40-89B1-C42FD2D120E2
,Character,,,,,Robert L. Smith,"inks, cover inks",None,,,,45AA04B8-325C-974B-8B0B-44CD5D57B323
,Character,,,,,Michele Wolfman,color,N/A,,,,4F891EBB-5563-FD49-B476-D2DA33A0D7EF
Baroness Blitzkrieg,Character,The Ray (WBA),Justice Society of America #2,Mar-07,N,Geoff Johns,writer,WFH; Exclusive,,,,41CF1FA3-1AB5-CB4A-9692-D72861F97C74
,Character,,,,,Dale Eaglesham,pencils,WFH; Exclusive,,,,2207A701-9D6E-964F-93BA-C75A309EC9D8
,Character,,,,,Ruy Jose,inks,WFH; Exclusive,,,,AD9CB35B-7D2D-3E4B-AD4B-BA4B57D5A721
,Character,,,,,Alex Ross,"painted artwork, cover",WFH,,,,50F68498-60F0-4F44-8203-9CAA027E5D2D
,Character,,,,,Jeromy Cox,color,N/A,,,,C07C21C0-20CB-7C45-BC31-F621383243EA
"Barrage
(Phillip Karnowsky)",Character,Supergirl 207,"Superman Annual #2
""Love's Labors...""",1988,N,John Byrne,"writer, pencils, inks",WFH,,,,DCB97D8C-BD6A-F447-BFD7-9233AFCB3124
,Character,,,,,Ron Frenz,cover pencils,WFH,,,,8556A939-245C-B344-B2AD-4B2D9A401050
,Character,,,,,Brett Breeding,cover inks,WFH,,,,C09984AB-F571-4D49-9A37-34483E015884
,Character,,,,,Shelly Eiber,color,N/A,,,,1E3F99A0-5742-4C47-9DE3-41B43C66FA2F
"Barrage
(Doom Patrol)",Character,,Doom Patrol #1,Aug-04,N,John Byrne,"writer, pencils, cover",WFH,,,,7E4E7845-1E63-D24F-B9DC-BA06E74A7594
,Character,,,,,Doug Hazlewood,inks,WFH,,,,A03BD9F2-314A-0046-BEBC-20F093F5BFED
,Character,,,,,Alex Bleyaert,color,N/A,,,,196B9362-BB67-6645-A6FF-F9333FB228A0
"Bradley ""Bash"" Bashford",Character,,"Superboy #157
""Get Lost, Superboy… Who Needs You?""",Jun-69,Y,Frank Robbins,writer,None,,Deceased,,EF4C795D-C689-5D48-96F8-2173FCDA8E99
,Character,,,,,Bob Brown,pencils,None,,Deceased,,42757115-95D3-5B43-929B-9FBB07E3C97C
,Character,,,,,Wally Wood,inks,None,,Deceased,,DB4B041F-892E-1C42-BD86-65A6CC12F996
,Character,,,,,Neal Adams,cover,Contributor Recognition,,,,400E6BD7-729C-FD4C-A832-18D0DDD2EA6D
Bat Tank,Other,,Batman: The Dark Knight Returns #2,Apr-86,N,Frank Miller,"writer, pencils",Graphic Novel Agreement,,DCBL #4960,,2DE39D20-43C5-5441-B2A1-43049D037021
"Batgirl
(Betty Kane)",Character,Gotham Girls,"Batman #139
""Bat-Girl""",Apr-61,Y,Bob Kane,creator,Services Agreements,Y,Deceased,,011BB0F8-DC86-2F4A-B904-23D553DBCB73
,Character,,,,,Bill Finger,writer,Contributor Recognition,,Deceased Contributor Recognition Agreement is with heir.,,A476004E-1924-BA4F-935D-48BCAA3B1CDD
,Character,,,,,Sheldon Mayer,"pencils, cover",None,,Deceased,,3C1517F6-BED9-5949-AA92-BA4A0FB4FBBE
,Character,,,,,Charles Paris,inks,None,,Deceased,,F90223F9-019C-AD4C-84E5-616A148D5CD9
"Batgirl
(Barbara Gordon)",Character,Gotham Girls,"as Batgirl:
Detective Comics #359
""The Million Dollar Debut of Batgirl""",Jan-67,Y,Gardner F. Fox,writer,Creator Recognition,,Deceased Creator recognition agreement with is with heirs.,,066C30E0-8799-0A42-8764-18DC135EDD2D
,Character,,,,,Carmine Infantino,"pencils, cover pencils",Settlement,,Deceased,,157B9EED-A048-574E-A67E-686E9DE93A3B
,Character,,,,,Sidney Greene,inks,None,,Deceased,,E010602B-AA6E-0548-BC65-345B43BFA343
,Character,,,,,Murphy Anderson,cover inks,None,,Deceased,,3B44F370-EEE1-AF4A-B712-146C432F8047
,Character,,"as Oracle:
Suicide Squad #23",Jan-89,N,John Ostrander,writer,WFH,,Yale was Ostrander's wife & co-writer. We credit her for writing but all payment went to John. She is deceased & John is the executor of her estate.,,6C2D1597-2A5C-8F45-A23C-4C860DC71246
,Character,,,,,Kim Yale,writer,None,,,,7DE8150B-9EF2-BB49-9A18-4C54E1C0F25F
,Character,,,,,Luke McDonnell,"pencils, cover pencils",WFH,,,,1C96865C-1B40-4646-8E05-F99673CEBAC1
,Character,,,,,Karl Kesel,"inks, cover inks",WFH,,,,4796963F-6ECF-8944-8F72-64DCF33632FF
,Character,,,,,Carl Gafford,color,N/A,,,,06B658BF-EF1B-8446-93CC-8BA8585C89E0
"Batgirl
(Stephanie Brown; Spoiler; Robin)",Character,Gotham Girls,"as Spoiler:
Detective Comics #647",Aug-92,N,Chuck Dixon,writer,WFH,1994,,,78E484B4-E897-AA4B-99ED-5D5758CCD8F9
,Character,,,,,Tom Lyle,pencils,WFH,1994,,,044EF5CB-8376-E249-9DCB-06B684A9AF60
,Character,,,,,Scott Hanna,inks,WFH,,,,9069ECB2-2C20-DC44-BF10-62D24033D642
,Character,,,,,Matt Wagner,cover,WFH,,,,55D15DD8-6815-D241-9BCB-A8419957FCFC
,Character,,,,,Adrienne Roy,color,Exclusive,,Deceased,,78ABE06B-B23C-804A-9D71-CAFCA9A8AC8B
,Character,,"as Robin:
Robin #126",Jul-04,Y,Bill Willingham,writer,WFH,,,,01621CA7-42D5-3F40-95FE-7E5EE65CBA93
,Character,,,,,Damion Scott,"pencils, inks, cover",WFH,,,,123FD9BD-E701-BC4B-9C7D-20582ABC4AFE
,Character,,,,,Guy Major,color,N/A,,,,C9DF79C7-7B64-F942-9276-2AB204E9E982
,Character,,"as Batgirl:
Batgirl #4",Jan-10,Y,Bryan Q. Miller,writer,WFH,,,,933FC85D-6FD1-C84B-8907-D082A9ACC437
,Character,,,,,Tim Levins,pencils,WFH,,,,71073D8E-4940-2843-8B40-E7D224C5248C
,Character,,,,,Lee Garbett,pencils,WFH,,,,62B7231D-3CF9-484D-AD69-DAB6E3CF403B
,Character,,,,,Dan W. Davis,inks,WFH,,,,A99F0F0A-E5C4-A74D-B004-F712B3CA2DFC
,Character,,,,,Aaron Sowd,inks,WFH,,,,6F786FA7-E5E3-EF49-B2A8-9C81391C8D98
,Character,,,,,Trevor Scott,inks,WFH,,,,DC98BBB8-EEAA-7C4B-A57F-245ABC114163
,Character,,,,,Phil Noto,cover,WFH,,,,BCCFA51B-039E-DB43-880E-58DBA7F8C67C
,Character,,,,,Guy Major,color,N/A,,,,63A3623E-A5F3-154F-AED4-502D43773011
"Batgirl
(Helena Bertinelli; The Huntress)
This applies to Helena Bertinelli only. For Earth-2 Huntress, see Helena Wayne.",Character,Gotham Girls,"as Huntress:
Huntress #1",Apr-89,Y,Joey Cavalieri,writer,WFH,,,,9ACE89DB-FD7D-5642-8AE2-6725104353DB
,Character,,,,,Joe Staton,"pencils, cover pencils",WFH,,,,CC4D3838-B83C-6144-8819-91762018B9A0
,Character,,,,,Bruce Patterson,"inks, cover inks",Exclusive,,,,753A3556-2BDB-9645-A4AA-E650D0A544E3
,Character,,,,,Dick Giordano,inks,N/A,,"Giordano may have been an employee of DC at this time.
Deceased",,B6AE43C6-7F18-8B4D-A832-FEC62AAF232A
,Character,,,,,Nansi Hoolihan,color,N/A,,,,392635D4-73D2-4A47-9878-031F0C463814
,Character,,"as Batgirl:
Batman: Shadow of the Bat #83",Mar-99,Y,Bob Gale,writer,WFH,,,,01650B2A-CF7A-764E-A71F-DC72C46E44E8
,Character,,,,,Alex Maleev,pencils,WFH,,,,01A769BA-F4A8-4E42-975F-D92C145EE9DA
,Character,,,,,Wayne Faucher,inks,WFH,,,,3D59A56F-3110-6942-8EA8-1A0860E80A22
,Character,,,,,Tony Harris,cover pencils,WFH,,,,36E6F236-859E-C648-9D97-1A3F2AF72FB2
,Character,,,,,Jim Royal,cover inks,WFH,,,,E1FC833D-E792-DA4E-A417-C67A19ABF63C
,Character,,,,,Matt Hollingsworth,color,N/A,,,,17CF55B0-895C-D049-ADD9-50D7C7C625CB
"Batgirl
(Cassandra Cain)",Character,Gotham Girls,Batman #567,Jul-99,Y,Kelley Puckett,writer,WFH,,,,5A0DD47D-DA79-B84E-A312-825C64517877
,Character,,,,,Damion Scott,"pencils, cover pencils",WFH,,,,01D07CF6-100B-EA43-9130-8C49F37BFB19
,Character,,,,,John Floyd,inks,WFH,,,,F433A150-7FAA-8A41-89B1-55D68FEDF85D
,Character,,,,,Robert Campanella,cover inks,WFH,,,,EC8F3977-555A-9C46-95C0-A980ADE91DEC
,Character,,,,,Gregory Wright,color,N/A,,,,A5A24E33-0126-3C44-9279-4D21F5F63245
"Batman
(Bruce Wayne)",Character,,"Detective Comics #27
""The Case of the Chemical Syndicate""",May-39,Y,Bill Finger,writer,Contributor Recognition,Y,Deceased Contributor Recognition Agreement is with heir.,,AF3C801A-E44D-7045-B7DA-E0E46442F0B9
,Character,,,,,Bob Kane,"pencils, inks, cover",Services Agreements,Y,Deceased,,D72D3B7B-EDE9-414A-99AA-2F47BC163C24
Bat Signal,Property,Gotham 422,"Detective Comics #60
""The Case of the Costume-Clad Killers""",Feb-42,N,Jack Schiff,writer,N/A,,"Schiff may have been an employee of DC at this time.
Deceased",,2231616B-02F1-BF4F-9974-628C7FFA41AD
,Property,,,,,Bob Kane,pencils,Services Agreements,,Deceased,,03632680-4A2A-DA40-B05D-ECE92114D814
,Property,,,,,Jerry Robinson,"inks, cover",Settlement,,Deceased,,03ACBAED-F81A-0E4F-882E-34AD5B9F0D9C
,Property,,,,,George Roussos,inks,None,,Deceased,,BACC7A49-7FF2-7444-888C-1B30B4627758
"Batwing
(Lucas ""Luke"" Fox)",Character,Batwoman 101,Batwing #19,Jun-13,Y,Justin Gray,writer,WFH,,,,42A45ACC-BBA7-A84E-AD21-3AFA03047222
,Character,,,,,Jimmy Palmiotti,writer,WFH,,,,3F5B79EE-A6EF-D74C-82ED-D34AA3F45781
,Character,,,,,Eduardo Pansica,pencils,WFH,,,,FB9C7B48-5979-954D-B267-C73611521A7E
,Character,,,,,Julio Ferreira,inks,WFH,,,,A7E7E23D-EF14-7F4C-B232-39B168625BA9
,Character,,,,,Fabrizio Fiorentino,cover,WFH,,,,5CC70FFE-92B8-2B4E-97F8-CAECA672DF03
,Character,,,,,Jason Wright,color,N/A,,,,F290AF28-D17E-0244-B0EE-F3E33B1BC233
"Batwoman
(Katherine ""Kathy"" Kane)",Character,,"Detective Comics #233
""The Batwoman""",Jul-56,Y,Edmond Hamilton,writer,None,,Deceased,,74FB2653-0327-7B41-BB76-609661987A8D
,Character,,,,,Sheldon Moldoff,"pencils, cover",None,,Deceased,,6C0380C4-66F3-B54B-98C7-CAFC4CB5FBEB
,Character,,,,,Stan Kaye,inks,None,,Deceased,,CA46385A-FD32-DD41-AFD6-F6A9B12A94A1
"Batwoman
(Katherine ""Kate"" Kane)",Character,Arrow 709,52 #7,Aug-06,N,Geoff Johns,writer,Exclusive; Continuity; WFH,,,,5BB3AE01-0160-E54B-AF29-83BB933A2804
,Character,,,,,Grant Morrison,writer,Continuity; WFH,,,,50E7B6CA-A71B-3347-9DF2-22EF976F1047
,Character,,,,,Greg Rucka,writer,Continuity; WFH,,,,A7729752-B0C6-454F-A140-9543720B9F9E
,Character,,,,,Mark Waid,writer,Continuity; WFH,,,,1B662ED5-FBA9-A548-8E6F-76660786CC41
,Character,,,,,Keith Giffen,pencils,Continuity,,,,C97C9148-9ACA-5C4E-82F7-00EAAF85BE17
,Character,,,,,Ken Lashley,"pencils, inks",WFH,,,,6896BEDC-F52E-4040-9B46-CC8C49E79F72
,Character,,,,,J.G. Jones,cover,WFH,,,,12CB7C4F-B013-714C-BCAC-217ABDF25BF2
,Character,,,,,Alex Sinclair,color,Exclusive,,,,59696FB7-087C-B74D-A787-A747C41BA5C0
Bialya,Location,,Justice League vol 1  #2,Jun-87,,Keith Giffen,writer,WFH,,,,7520CB1F-202D-C641-81B6-D917DEA8060A
,Location,,,,,J.M. DeMatteis,writer,WFH,,,,1817558D-2B29-E44A-BBA3-349FBBDBB9A4
,Location,,,,,Kevin Maguire,pencils,WFH,,,,71841D81-966F-0849-88AF-5AEE6740CCCE
,Location,,,,,Al Gordon,inks,WFH,,,,8D8332B2-2134-CB44-BFE9-DB3D77EA04E6
B'dg,Character,,Green Lantern #4,Oct-05,N,Geoff Johns,writer,Exclusive; WFH,,,,5A1D69F9-928A-7740-B570-BE05B7B619A2
,Character,,,,,Ethan Van Sciver,"pencils, inks, cover",Exclusive; WFH,,,,8A09B72A-3C93-4D48-B834-288B5828D7D8
,Character,,,,,"William ""Moose"" Baumann",color,N/A,,,,95EC244B-32F4-9048-BF29-31C1BC38E13F
"Beard Hunter
(Ernest Franklin)",Character,Doom Patrol 110,Doom Patrol #45,Jun-91,Y,Grant Morrison,writer,Writer,2010,,,46CF2ACB-73FF-5547-907B-E3DCD7053118
,Character,,,,,Vincent Giarrano,pencils,WFH,,,,B3C33138-ED97-4941-B8EC-E02BDED6EA54
,Character,,,,,Malcolm Jones III,inks,WFH,,,,7CD2985E-09D0-E841-AFA7-DF9B0C6EC9FC
,Character,,,,,Simon Bisley,cover,WFH,,,,6FA0C2B6-AB98-7D4B-9D7C-E6C6EC3852C4
,Character,,,,,Daniel Vozzo,color,N/A,,,,A0D6D579-3FD9-8743-AE89-6E1F96E12B7C
"Beast Boy
(Garfield ""Gar"" Logan; Changeling)",Character,,"as Beast-Boy:
Doom Patrol #99
""The Beast-Boy""",Nov-65,Y,Arnold Drake,writer,Equity,2006,Deceased,,BD6E5B33-8591-C245-9124-83ED1F1D4B41
,Character,,,,,Bob Brown,"pencils, inks, cover",None,,Deceased,,650A6B73-26FF-7C4C-8779-ED899E0F55FE
,Character,,"as Changeling:
DC Comics Presents #26
""Where Nightmares Begin""",Oct-80,N,Marv Wolfman,writer,Exclusive,,,,2ADA7B56-0605-B645-AA39-58CA137E8A96
,Character,,,,,George Perez,pencils,None,,,,F3DA810D-7A06-BE4F-88B4-A32C06BE48DC
,Character,,,,,Dick Giordano,inks,Exclusive,,"Giordano may have been an employee of DC at this time.
Deceased",,41B9A3F4-B81E-0B47-B40F-FB12D2398C02
,Character,,,,,Jim Starlin,cover,None,,,,B88F846D-04E8-6B47-B4AB-FCB7CF77149D
,Character,,,,,Adrienne Roy,color,N/A,,Deceased,,D404A73E-EFE5-924B-85F5-132407288F6D
"Beatriz da Costa
(Green Fury; Green Flame; Fire)",Character,Powerless 110,"as Green Fury:
Super Friends #25",Oct-79,N,E. Nelson Bridwell,writer,N/A,,"Bridwell was an employee of DC at this time (from 1/13/1964-1/23/1987).
Deceased",,AEBC2C4C-8B1E-D640-A861-6C457FACEC10
,Character,,,,,Ramona Fradon,"pencils, cover pencils",Exclusive; Creator Recognition (DCBL 225190),2016,,,FAB1CF31-638F-754C-A86C-6FA2AFA04842
,Character,,,,,Robert R. Smith,"inks, cover inks",None,,,,7616E59A-52D6-AC44-B7C8-A902678C7CE4
,Character,,,,,Gene D'Angelo,color,N/A,,,,77583826-1CB9-DC4C-946D-9B58C94C17EB
Before Watchmen: The Comedian,Property,,"Before Watchmen: Comedian #1
""Smile""",Aug-12,Y,Brian Azzarello,writer,WFH,,,,F88D2221-C192-2B47-AC60-ED7033D00716
,Property,,,,,Jeffrey G. Jones,"pencils, inks, cover",WFH,,,,952E9E6C-FB9F-C846-97D4-4E949F06F39F
,Property,,,,,Eduardo Risso,variant cover,WFH,,,,550035CC-3182-C843-817E-E22AFFE42447
,Property,,,,,Jim Lee,variant cover pencils,Firewall,,,,55C6A24D-B2DF-FF4B-A645-94146783E2B9
,Property,,,,,Scott Williams,variant cover inks,WFH,,,,25DF4E19-A9A6-D74E-8356-3B13B78F278D
,Property,,,,,Alex Sinclair,color,Exclusive,,,,1FBFE7B8-CFFC-BE4F-AC42-C1A72E6BB4D7
Before Watchmen: The Crimson Corsair,Property,,"Before Watchmen: Minutemen #1
""The Curse of the Crimson Corsair: The Devil in the Deep…! Part One""",Aug-12,N,Len Wein,writer,WFH,,Deceased,,1BE0DBE3-7937-4B4E-AE38-BEDBAD774F6A
,Property,,,,,John Higgins,"pencils, inks, color",WFH,,,,ABA5EF27-8B6E-8E41-AA5E-6253A9CBED62
,Property,,,,,Darwyn Cooke,cover,WFH,,,,35A14A41-C6C4-0C48-BBBF-591A4086F87F
,Property,,,,,Michael Golden,variant cover,WFH,,,,3DCF5224-D3EA-594C-9BF6-03B556314602
,Property,,,,,Jim Lee,variant cover pencils,Firewall,,,,919FFB88-3C05-2E48-BAE6-819AB9E7E92E
